,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
150,2022-09-21 16:40:03+00:00,2022-09-21 16:40:03+00:00,"['Rihab Gorsane', 'Omayma Mahjoub', 'Ruan de Kock', 'Roland Dubb', 'Siddarth Singh', 'Arnu Pretorius']",,,cs.LG,"['cs.LG', 'cs.AI', 'cs.GL', 'cs.MA', 'I.2.11; I.2.0; A.1']",2209.10485,1
151,2021-12-01 03:28:08+00:00,2021-12-01 03:28:08+00:00,['N. Karjanto'],,,math.HO,"['math.HO', 'cs.GL', '97I30, 97I50, 01A05']",2112.00257,1
152,2022-09-26 16:23:02+00:00,2022-09-26 16:23:02+00:00,"['Nurullah Sevim', 'Ege Ozan Özyedek', 'Furkan Şahinuç', 'Aykut Koç']",,,cs.CL,"['cs.CL', 'cs.AI', 'cs.GL', 'eess.AS']",2209.12816,1
153,2019-01-15 13:47:06+00:00,2019-01-15 13:47:06+00:00,"['Kai-Kristian Kemell', 'Xiaofeng Wang', 'Anh Nguyen-Duc', 'Jason Grendus', 'Tuure Tuunanen', 'Pekka Abrahamsson']",,,cs.GL,"['cs.GL', 'econ.GN', 'q-fin.EC']",1901.04819,1
154,2022-07-21 05:35:02+00:00,2022-07-21 05:35:02+00:00,"['Martin Stoffers', 'Alexander Weinert']",,,cs.DB,"['cs.DB', 'cs.GL']",2207.14163,1
155,2022-11-16 14:58:01+00:00,2022-11-16 14:58:01+00:00,['Hironori Washizaki'],,,cs.SE,"['cs.SE', 'cs.GL']",2211.09554,1
156,2022-07-15 17:34:00+00:00,2022-07-15 17:34:00+00:00,"['Philip E. Bourne', 'Vivien Bonazzi', 'Amy Brand', 'Bonnie Carroll', 'Ian Foster', 'Ramanathan V. Guha', 'Robert Hanisch', 'Sallie Ann Keller', 'Mary Lee Kennedy', 'Christine Kirkpatrick', 'Barend Mons', 'Sarah M. Nusser', 'Michael Stebbins', 'George Strawn', 'Alex Szalay']",,10.1126/science.abo5947,cs.DL,"['cs.DL', 'cs.GL']",2208.04682,1
157,2018-10-02 20:01:43+00:00,2018-10-02 20:01:43+00:00,['Roman V. Yampolskiy'],,,cs.GL,"['cs.GL', 'cs.AI', 'cs.CY']",1810.02724,1
158,2022-09-19 13:53:51+00:00,2022-09-19 13:53:51+00:00,"['Maja Schneider', 'Christian Marchington', 'Marco Körner']",,,cs.DL,"['cs.DL', 'cs.GL']",2210.07178,1
159,2022-08-02 21:42:01+00:00,2022-08-02 21:42:01+00:00,"['Jennifer Head', ""Dianne P. O'Leary""]",,,cs.GL,"['cs.GL', '68.03', 'K.2']",2208.01765,1
160,2019-07-29 04:01:12+00:00,2019-07-29 04:01:12+00:00,['Tansu Alpcan'],,,cs.GL,['cs.GL'],1907.12204,1
161,2022-10-01 10:07:28+00:00,2022-10-01 10:07:28+00:00,"['Richard Shute', 'Nick Lynch']",,,cs.SE,"['cs.SE', 'cs.GL']",2210.00236,1
162,2022-04-05 12:55:31+00:00,2022-04-05 12:55:31+00:00,['Gil Kalai'],,,quant-ph,"['quant-ph', 'cs.GL', 'physics.hist-ph']",2204.02768,1
163,2019-05-23 15:46:13+00:00,2019-05-23 15:46:13+00:00,"['Cristian Ivan', 'Bipin Indurkhya']",,,cs.AI,"['cs.AI', 'cs.GL']",1905.09730,1
164,2019-07-03 17:42:17+00:00,2019-07-03 17:42:17+00:00,"['Martin Geier', 'Samarjit Chakraborty']",,,cs.GL,"['cs.GL', 'cs.CY']",1907.01874,1
165,2022-09-06 08:49:44+00:00,2022-09-06 08:49:44+00:00,"['Yanchao Xu', 'Wenbo Shao', 'Jun Li', 'Kai Yang', 'Weida Wang', 'Hua Huang', 'Chen Lv', 'Hong Wang']",,,cs.CV,"['cs.CV', 'cs.GL']",2209.02297,1
166,2022-09-13 12:51:20+00:00,2022-09-13 12:51:20+00:00,['Mousa Jari'],,10.5121/csit.2022.121319,cs.CR,"['cs.CR', 'cs.CY', 'cs.GL', 'cs.HC']",2209.11197,1
167,2022-10-11 21:22:30+00:00,2022-10-11 21:22:30+00:00,"['Renee Shelby', 'Shalaleh Rismani', 'Kathryn Henne', 'AJung Moon', 'Negar Rostamzadeh', 'Paul Nicholas', ""N'Mah Yilla"", 'Jess Gallegos', 'Andrew Smart', 'Emilio Garcia', 'Gurleen Virk']",,,cs.HC,"['cs.HC', 'cs.GL']",2210.05791,1
168,2021-09-23 17:20:37+00:00,2021-09-23 17:20:37+00:00,['Michael Correll'],,,cs.GL,"['cs.GL', 'cs.HC']",2109.12975,1
169,2022-09-01 01:46:29+00:00,2022-09-01 01:46:29+00:00,['Jonny L. Saunders'],,,cs.GL,"['cs.GL', 'K.2; K.4.1; K.4.3; E.2; H.5.3; H.4.3; K.6.4']",2209.07493,1
170,2008-04-17 16:46:55+00:00,2008-04-17 16:46:55+00:00,"['David King', 'Chris Kimble']",,,cs.SE,"['cs.SE', 'cs.GL', 'K.6.3; I.0']",0804.2852,1
171,2022-07-28 09:44:21+00:00,2022-07-28 09:44:21+00:00,"['Viktor Zobernig', 'Richard A. Saldanha', 'Jinke He', 'Erica van der Sar', 'Jasper van Doorn', 'Jia-Chen Hua', 'Lachlan R. Mason', 'Aleksander Czechowski', 'Drago Indjic', 'Tomasz Kosmala', 'Alessandro Zocca', 'Sandjai Bhulai', 'Jorge Montalvo Arvizu', 'Claude Klöckl', 'John Moriarty']",,,cs.LG,"['cs.LG', 'cs.AI', 'cs.GL', 'cs.SY', 'eess.SY', 'math.OC']",2208.00003,1
